1000, Narrow score: 42 scoreX: 21 scoreO: 21 games: 48
500, Narrow score: 35 scoreX: 20 scoreO: 15 games: 48
1000, Standard score: 33 scoreX: 14 scoreO: 19 games: 48
500, Standard score: 28 scoreX: 14 scoreO: 14 games: 48
100, Narrow score: 20 scoreX: 8 scoreO: 12 games: 48
100, Standard score: 19 scoreX: 9 scoreO: 10 games: 48
1000, Wide score: 15 scoreX: 9 scoreO: 6 games: 48
500, Wide score: 13 scoreX: 4 scoreO: 9 games: 48
100, Wide score: 9 scoreX: 5 scoreO: 4 games: 48
X: 100, Narrow   O: 500, Narrow result: O
X: 100, Narrow   O: 500, Narrow result: O
X: 100, Narrow   O: 500, Narrow result: -
X: 100, Narrow   O: 1000, Narrow result: O
X: 100, Narrow   O: 1000, Narrow result: O
X: 100, Narrow   O: 1000, Narrow result: O
X: 100, Narrow   O: 100, Standard result: O
X: 100, Narrow   O: 100, Standard result: X
X: 100, Narrow   O: 100, Standard result: O
X: 100, Narrow   O: 500, Standard result: O
X: 100, Narrow   O: 500, Standard result: X
X: 100, Narrow   O: 500, Standard result: O
X: 100, Narrow   O: 1000, Standard result: O
X: 100, Narrow   O: 1000, Standard result: O
X: 100, Narrow   O: 1000, Standard result: O
X: 100, Narrow   O: 100, Wide result: X
X: 100, Narrow   O: 100, Wide result: X
X: 100, Narrow   O: 100, Wide result: X
X: 100, Narrow   O: 500, Wide result: X
X: 100, Narrow   O: 500, Wide result: O
X: 100, Narrow   O: 500, Wide result: O
X: 100, Narrow   O: 1000, Wide result: X
X: 100, Narrow   O: 1000, Wide result: X
X: 100, Narrow   O: 1000, Wide result: O
X: 500, Narrow   O: 100, Narrow result: X
X: 500, Narrow   O: 100, Narrow result: X
X: 500, Narrow   O: 100, Narrow result: X
X: 500, Narrow   O: 1000, Narrow result: O
X: 500, Narrow   O: 1000, Narrow result: X
X: 500, Narrow   O: 1000, Narrow result: O
X: 500, Narrow   O: 100, Standard result: X
X: 500, Narrow   O: 100, Standard result: X
X: 500, Narrow   O: 100, Standard result: X
X: 500, Narrow   O: 500, Standard result: X
X: 500, Narrow   O: 500, Standard result: X
X: 500, Narrow   O: 500, Standard result: X
X: 500, Narrow   O: 1000, Standard result: X
X: 500, Narrow   O: 1000, Standard result: O
X: 500, Narrow   O: 1000, Standard result: O
X: 500, Narrow   O: 100, Wide result: X
X: 500, Narrow   O: 100, Wide result: X
X: 500, Narrow   O: 100, Wide result: X
X: 500, Narrow   O: 500, Wide result: X
X: 500, Narrow   O: 500, Wide result: X
X: 500, Narrow   O: 500, Wide result: X
X: 500, Narrow   O: 1000, Wide result: X
X: 500, Narrow   O: 1000, Wide result: X
X: 500, Narrow   O: 1000, Wide result: X
X: 1000, Narrow   O: 100, Narrow result: X
X: 1000, Narrow   O: 100, Narrow result: X
X: 1000, Narrow   O: 100, Narrow result: O
X: 1000, Narrow   O: 500, Narrow result: X
X: 1000, Narrow   O: 500, Narrow result: X
X: 1000, Narrow   O: 500, Narrow result: X
X: 1000, Narrow   O: 100, Standard result: X
X: 1000, Narrow   O: 100, Standard result: X
X: 1000, Narrow   O: 100, Standard result: X
X: 1000, Narrow   O: 500, Standard result: X
X: 1000, Narrow   O: 500, Standard result: X
X: 1000, Narrow   O: 500, Standard result: X
X: 1000, Narrow   O: 1000, Standard result: X
X: 1000, Narrow   O: 1000, Standard result: O
X: 1000, Narrow   O: 1000, Standard result: X
X: 1000, Narrow   O: 100, Wide result: X
X: 1000, Narrow   O: 100, Wide result: X
X: 1000, Narrow   O: 100, Wide result: X
